stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
195,0,1,0,0,2.419355,3.666667,1.714286,-0.395761,1.857143,1.897046,-0.290958,5.823529,86061,570672
196,0,1,0,1,1.612903,2.366667,2.380952,0.544132,2,1.838889,-0.609378,5.882353,86884,65682
197,0,1,1,0,3.548387,3.233333,1.285714,-0.999977,2.761905,1.696429,-1.389366,6.705882,87327,61847
198,0,1,0,0,2.967742,2.733333,4.809524,3.968026,1.952381,1.654167,-1.620756,6.411765,91109,123125
199,0,1,0,0,3.193548,2.933333,1.666667,-0.462896,1.857143,1.779802,-0.932888,5.529412,93340,187339
200,0,1,0,0,2.290323,3.866667,2.095238,0.141321,2.238095,1.897413,-0.288951,6.235294,94009,137773
201,0,1,0,0,2.354839,3.2,1.666667,-0.462896,1.952381,2.43558,2.657582,4.882353,94209,L23552
202,0,1,0,0,2.935484,3,4.714286,3.833755,1.380952,1.814103,-0.745086,4.470588,95294,615791
203,0,1,0,0,2.774194,2.866667,1.857143,-0.194355,1.857143,1.632659,-1.738511,7.058824,95677,106482
204,0,1,0,0,2.580645,2.5,1.571429,-0.597166,2.333333,1.793808,-0.8562,5.882353,96122,544466
205,0,1,0,0,2.225806,2.566667,2.47619,0.678402,2.285714,1.596545,-1.936243,6.588235,96865,746159
206,0,1,0,0,2.967742,3.166667,1.619048,-0.530031,1.952381,2.108465,0.866585,4.941176,100330,507173
207,0,1,0,0,2.967742,3.333333,1.952381,-0.060085,2,2.223881,1.498501,5.294118,100707,165990
208,0,1,0,0,2.709677,3.533333,1.238095,-1.067112,2.619048,1.995655,0.248934,4.529412,103059,V15656
209,0,1,0,0,3.258065,2.233333,1.428571,-0.798572,1.619048,1.706377,-1.334896,6.529412,103454,99265
210,0,1,0,0,3.741935,2.3,1.666667,-0.462896,1.571429,2.142938,1.055329,5.176471,104873,214512
211,0,1,0,0,2.741935,2.8,1.571429,-0.597166,4,1.751695,-1.086777,5.235294,104899,139039
212,0,1,0,0,2.870968,4.666667,1.761905,-0.328625,1.619048,1.928066,-0.121121,6.647059,108205,882546
213,0,1,0,0,2.451613,2.866667,2.47619,0.678402,1.619048,1.979469,0.160314,5.058824,111471,L11917
214,0,1,1,0,3.516129,2.366667,1.52381,-0.664301,1.809524,1.741335,-1.143498,6.823529,113333,108495
215,0,1,0,0,1.967742,2.1,2.380952,0.544132,1.52381,1.827839,-0.669878,7.176471,115415,81623
