stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
193,0,1,0,0,3.45,2.73,1.48,-0.73,1.9,1.74,-1.17,6.18,85019,220956
194,0,1,1,0,2.55,3.07,2.38,0.54,2.38,1.73,-1.22,6.53,85642,53934
195,0,1,0,0,2.42,3.67,1.71,-0.4,1.86,1.9,-0.29,5.82,86061,570672
196,0,1,0,1,1.61,2.37,2.38,0.54,2,1.84,-0.61,5.88,86884,65682
197,0,1,1,0,3.55,3.23,1.29,-1,2.76,1.7,-1.39,6.71,87327,61847
198,0,1,0,0,2.97,2.73,4.81,3.97,1.95,1.65,-1.62,6.41,91109,123125
199,0,1,0,0,3.19,2.93,1.67,-0.46,1.86,1.78,-0.93,5.53,93340,187339
200,0,1,0,0,2.29,3.87,2.1,0.14,2.24,1.9,-0.29,6.24,94009,137773
201,0,1,0,0,2.35,3.2,1.67,-0.46,1.95,2.44,2.66,4.88,94209,L23552
202,0,1,0,0,2.94,3,4.71,3.83,1.38,1.81,-0.75,4.47,95294,615791
203,0,1,0,0,2.77,2.87,1.86,-0.19,1.86,1.63,-1.74,7.06,95677,106482
204,0,1,0,0,2.58,2.5,1.57,-0.6,2.33,1.79,-0.86,5.88,96122,544466
205,0,1,0,0,2.23,2.57,2.48,0.68,2.29,1.6,-1.94,6.59,96865,746159
206,0,1,0,0,2.97,3.17,1.62,-0.53,1.95,2.11,0.87,4.94,100330,507173
207,0,1,0,0,2.97,3.33,1.95,-0.06,2,2.22,1.5,5.29,100707,165990
208,0,1,0,0,2.71,3.53,1.24,-1.07,2.62,2,0.25,4.53,103059,V15656
209,0,1,0,0,3.26,2.23,1.43,-0.8,1.62,1.71,-1.33,6.53,103454,99265
210,0,1,0,0,3.74,2.3,1.67,-0.46,1.57,2.14,1.06,5.18,104873,214512
211,0,1,0,0,2.74,2.8,1.57,-0.6,4,1.75,-1.09,5.24,104899,139039
212,0,1,0,0,2.87,4.67,1.76,-0.33,1.62,1.93,-0.12,6.65,108205,882546
213,0,1,0,0,2.45,2.87,2.48,0.68,1.62,1.98,0.16,5.06,111471,L11917
214,0,1,1,0,3.52,2.37,1.52,-0.66,1.81,1.74,-1.14,6.82,113333,108495
215,0,1,0,0,1.97,2.1,2.38,0.54,1.52,1.83,-0.67,7.18,115415,81623
216,0,1,0,0,2.81,2.87,3.1,1.55,1.33,1.94,-0.06,3.53,118229,140823
217,1,-1,0,0,2.43,3,6.47,0.69,1.87,1.94,-0.58,7.05,124517,124517
218,1,-1,0,0,2.37,3.14,6.24,0.33,2.48,1.83,-1.2,6.14,124538,124538
219,1,-1,0,0,2.63,3.83,6.41,0.6,2.52,2.04,-0.06,5.1,124607,124607
220,1,-1,0,0,2.47,3.28,6.76,1.12,1.65,2.2,0.75,5.38,124669,124669
221,1,-1,0,0,2.57,3.1,6.53,0.77,3.22,1.77,-1.48,5.19,125172,125172
222,1,-1,0,0,2.23,3.45,5.12,-1.34,1.65,2.3,1.28,5.14,128019,128019
223,1,-1,0,0,2.47,3.48,3.88,-3.18,2,2.27,1.14,4.9,130335,130335
224,1,-1,0,0,3.17,3.9,5.71,-0.46,1.57,2.14,0.45,4,130985,130985
225,1,-1,0,0,2.63,3.07,4.59,-2.13,1.91,1.9,-0.83,3.62,131596,131596
226,1,-1,0,0,1.8,2.86,6.71,1.04,1.52,2.21,0.84,4.81,132474,132474
227,1,-1,0,0,2.67,3.03,6.18,0.25,2.09,2.23,0.91,5.1,133220,133220
228,1,-1,0,0,1.67,2.24,4.41,-2.39,1.96,1.97,-0.42,4.24,133428,133428
229,1,-1,0,0,2.77,3.69,5.88,-0.19,1.74,2.02,-0.16,4.33,135963,135963
230,1,-1,0,0,3.1,3.83,6.18,0.25,2.22,2.21,0.82,4.14,138315,138315
231,1,-1,0,1,1.8,2.28,4.94,-1.6,1.61,2.04,-0.09,4.67,148538,148538
232,1,-1,0,0,2.03,3.14,6.65,0.95,2.3,2.19,0.7,5.43,148739,148739
233,1,-1,0,0,2.83,3.83,7.24,1.83,2.61,2.29,1.24,5.38,180399,180399
234,1,-1,1,0,3.17,3.93,6.35,0.51,2.3,2.04,-0.08,5.38,192202,192202
235,1,-1,1,0,2.6,3.38,5.41,-0.9,1.65,2,-0.27,6.24,200047,200047
236,1,-1,0,0,1.77,2.24,4.47,-2.3,2.39,1.88,-0.9,5.81,214353,214353
237,1,-1,0,0,2.7,3.76,6.59,0.86,1.96,2.11,0.31,5,217358,217358
238,0,-1,0,0,2.47,4.24,6.12,0.16,1.65,1.75,-1.58,6.24,137075,49258
239,0,-1,1,1,2.87,3.17,5.18,-1.25,1.74,2.04,-0.06,4.71,138353,304328
240,0,-1,0,0,2.9,3.45,6.12,0.16,2.39,1.78,-1.42,5.43,139957,582950
241,0,-1,0,0,2.63,3.52,6.65,0.95,2.2,2.28,1.2,3.95,145829,X23560
242,0,-1,1,1,2.57,2.93,5.12,-1.34,3.07,1.86,-1.03,4.33,148425,117420
243,0,-1,0,0,2.4,3.55,5.88,-0.19,4.53,2.43,1.97,5.24,165210,107566
244,0,-1,0,0,2.87,3.52,7.12,1.65,2.87,2.31,1.37,4.14,168329,J20918
245,0,-1,0,0,2.8,3.83,5.88,-0.19,2.27,1.97,-0.46,5.81,181454,J36533
246,0,-1,0,0,3,3.62,5.88,-0.19,2,1.89,-0.87,5.19,186959,K08941
